DATE,CORESTICKM159SFRBATL
1972-03-05,4.057916253
1972-03-12,4.057916253
1972-03-19,4.057916253
1972-03-26,4.057916253
1972-04-02,3.971403024
1972-04-09,3.971403024
1972-04-16,3.971403024
1972-04-23,3.971403024
1972-04-30,3.971403024
1972-05-07,3.863863418
1972-05-14,3.863863418
1972-05-21,3.863863418
1972-05-28,3.863863418
1972-06-04,3.488589959
1972-06-11,3.488589959
1972-06-18,3.488589959
1972-06-25,3.488589959
1972-07-02,3.467340855
1972-07-09,3.467340855
1972-07-16,3.467340855
1972-07-23,3.467340855
1972-07-30,3.467340855
1972-08-06,3.366129082
1972-08-13,3.366129082
1972-08-20,3.366129082
1972-08-27,3.366129082
1972-09-03,3.1247262
1972-09-10,3.1247262
1972-09-17,3.1247262
1972-09-24,3.1247262
1972-10-01,3.331141241
1972-10-08,3.331141241
1972-10-15,3.331141241
1972-10-22,3.331141241
1972-10-29,3.331141241
1972-11-05,3.268535943
1972-11-12,3.268535943
1972-11-19,3.268535943
1972-11-26,3.268535943
1972-12-03,3.147816809
1972-12-10,3.147816809
1972-12-17,3.147816809
1972-12-24,3.147816809
1972-12-31,3.147816809
1973-01-07,2.842802671
1973-01-14,2.842802671
1973-01-21,2.842802671
1973-01-28,2.842802671
1973-02-04,2.881142745
1973-02-11,2.881142745
1973-02-18,2.881142745
1973-02-25,2.881142745
1973-03-04,2.929374136
1973-03-11,2.929374136
1973-03-18,2.929374136
1973-03-25,2.929374136
1973-04-01,3.031703085
1973-04-08,3.031703085
1973-04-15,3.031703085
1973-04-22,3.031703085
1973-04-29,3.031703085
1973-05-06,3.175423207
1973-05-13,3.175423207
1973-05-20,3.175423207
1973-05-27,3.175423207
1973-06-03,3.098743668
1973-06-10,3.098743668
1973-06-17,3.098743668
1973-06-24,3.098743668
1973-07-01,3.013319714
1973-07-08,3.013319714
1973-07-15,3.013319714
1973-07-22,3.013319714
1973-07-29,3.013319714
1973-08-05,3.322713188
1973-08-12,3.322713188
1973-08-19,3.322713188
1973-08-26,3.322713188
1973-09-02,3.944607922
1973-09-09,3.944607922
1973-09-16,3.944607922
1973-09-23,3.944607922
1973-09-30,3.944607922
1973-10-07,4.765238145
1973-10-14,4.765238145
1973-10-21,4.765238145
1973-10-28,4.765238145
1973-11-04,4.927794502
1973-11-11,4.927794502
1973-11-18,4.927794502
1973-11-25,4.927794502
1973-12-02,5.30805948
1973-12-09,5.30805948
1973-12-16,5.30805948
1973-12-23,5.30805948
1973-12-30,5.30805948
1974-01-06,5.845776926
1974-01-13,5.845776926
1974-01-20,5.845776926
1974-01-27,5.845776926
1974-02-03,6.291538116
1974-02-10,6.291538116
1974-02-17,6.291538116
1974-02-24,6.291538116
1974-03-03,6.816162733
1974-03-10,6.816162733
1974-03-17,6.816162733
1974-03-24,6.816162733
1974-03-31,6.816162733
1974-04-07,7.104721156
1974-04-14,7.104721156
1974-04-21,7.104721156
1974-04-28,7.104721156
1974-05-05,7.728315605
1974-05-12,7.728315605
1974-05-19,7.728315605
1974-05-26,7.728315605
1974-06-02,8.616369341
1974-06-09,8.616369341
1974-06-16,8.616369341
1974-06-23,8.616369341
1974-06-30,8.616369341
1974-07-07,9.526994824
1974-07-14,9.526994824
1974-07-21,9.526994824
1974-07-28,9.526994824
1974-08-04,10.103211029
1974-08-11,10.103211029
1974-08-18,10.103211029
1974-08-25,10.103211029
1974-09-01,10.593110106
1974-09-08,10.593110106
1974-09-15,10.593110106
1974-09-22,10.593110106
1974-09-29,10.593110106
1974-10-06,10.561468061
1974-10-13,10.561468061
1974-10-20,10.561468061
1974-10-27,10.561468061
1974-11-03,10.985727169
1974-11-10,10.985727169
1974-11-17,10.985727169
1974-11-24,10.985727169
1974-12-01,11.496042915
1974-12-08,11.496042915
1974-12-15,11.496042915
1974-12-22,11.496042915
1974-12-29,11.496042915
1975-01-05,11.624378564
1975-01-12,11.624378564
1975-01-19,11.624378564
1975-01-26,11.624378564
1975-02-02,11.784135357
1975-02-09,11.784135357
1975-02-16,11.784135357
1975-02-23,11.784135357
1975-03-02,11.573788456
1975-03-09,11.573788456
1975-03-16,11.573788456
1975-03-23,11.573788456
1975-03-30,11.573788456
1975-04-06,11.698351766
1975-04-13,11.698351766
1975-04-20,11.698351766
1975-04-27,11.698351766
1975-05-04,10.926931315
1975-05-11,10.926931315
1975-05-18,10.926931315
1975-05-25,10.926931315
1975-06-01,10.432971739
1975-06-08,10.432971739
1975-06-15,10.432971739
1975-06-22,10.432971739
1975-06-29,10.432971739
1975-07-06,9.76743143
1975-07-13,9.76743143
1975-07-20,9.76743143
1975-07-27,9.76743143
1975-08-03,8.920589927
1975-08-10,8.920589927
1975-08-17,8.920589927
1975-08-24,8.920589927
1975-08-31,8.920589927
1975-09-07,8.520421165
1975-09-14,8.520421165
1975-09-21,8.520421165
